year,day,net.treatment,rep,microsite,annuals,flowering.shrub,net.time,mean.visitation.duration,mean.floral.density,count,rate
2015,D10,OA,1,open,annuals,no shrub flowers,1078.0,0.01985011140368645,46.18181818181818,11,0.01020408163265306
2015,D10,OA,2,open,annuals,no shrub flowers,696.0,0.009575170592119745,94.85714285714286,14,0.020114942528735632
2015,D10,OA,3,open,annuals,no shrub flowers,158.0,0.01244780587725518,136.0,3,0.0189873417721519
2015,D10,OA,4,open,annuals,no shrub flowers,1.0,2.7858257187430356e-5,173.14285714285714,7,7.0
2015,D10,SA,1,Larrea,annuals,no shrub flowers,2.0,1.2090436464756378e-4,141.0,3,1.5
2015,D10,SA,2,Larrea,annuals,no shrub flowers,316.0,0.007208193617555145,162.22222222222223,9,0.028481012658227847
2015,D10,SA,3,Larrea,annuals,no shrub flowers,0.0,0.0,181.44444444444446,9,Inf
2015,D10,SA,4,Larrea,annuals,no shrub flowers,6.0,3.051261187957689e-4,160.25,4,0.6666666666666666
2015,D10,SAA,1,Larrea,annuals,flowering shrub,0.0,0.0,111.5,2,Inf
2015,D10,SAA,2,Larrea,annuals,flowering shrub,1029.0,0.02069589702333065,52.0,10,0.009718172983479106
2015,D10,SAA,3,Larrea,annuals,flowering shrub,0.0,0.0,151.75,4,Inf
2015,D10,SAA,4,Larrea,annuals,flowering shrub,1103.0,0.04086698777324935,90.2,5,0.004533091568449683
2015,D10,SX,1,Larrea,none,flowering shrub,26.0,0.0015978367748279252,140.33333333333334,3,0.11538461538461539
2015,D10,SX,2,Larrea,none,flowering shrub,21.0,5.165289256198347e-4,124.14285714285714,7,0.3333333333333333
2015,D10,SX,3,Larrea,none,flowering shrub,6.0,2.821670428893905e-4,58.0,4,0.6666666666666666
2015,D10,SX,4,Larrea,none,flowering shrub,0.0,0.0,154.5,4,Inf
2015,D11,OA,1,open,annuals,no shrub flowers,3596.0,0.03959916308776566,56.888888888888886,18,0.005005561735261402
2015,D11,OA,2,open,annuals,no shrub flowers,3139.0,0.020902141487321543,52.30769230769231,26,0.00828289264096846
2015,D11,OA,3,open,annuals,no shrub flowers,1338.0,0.014535262677617,40.833333333333336,18,0.013452914798206279
2015,D11,OA,4,open,annuals,no shrub flowers,765.0,0.005168220510741792,21.166666666666668,30,0.0392156862745098
2015,D11,SA,1,Larrea,annuals,no shrub flowers,148.0,0.0033077060611478633,177.75,8,0.05405405405405406
2015,D11,SA,2,Larrea,annuals,no shrub flowers,2.0,4.095004095004095e-5,168.6,10,5.0
2015,D11,SA,3,Larrea,annuals,no shrub flowers,5.0,8.576917798819817e-5,131.66666666666666,12,2.4
2015,D11,SA,4,Larrea,annuals,no shrub flowers,1.0,2.7753108348134992e-5,177.125,8,8.0
2015,D11,SAA,1,Larrea,annuals,flowering shrub,6665.0,0.09600149799786824,26.357142857142858,14,0.0021005251312828208
2015,D11,SAA,2,Larrea,annuals,flowering shrub,1643.0,0.03277478555755037,108.0,10,0.006086427267194157
2015,D11,SAA,3,Larrea,annuals,flowering shrub,392.0,0.009047267355982274,81.25,8,0.02040816326530612
2015,D11,SAA,4,Larrea,annuals,flowering shrub,437.0,0.006478681136215383,40.0,12,0.02745995423340961
2015,D11,SX,1,Larrea,none,flowering shrub,0.0,0.0,165.4,5,Inf
2015,D11,SX,2,Larrea,none,flowering shrub,0.0,0.0,171.66666666666666,6,Inf
2015,D11,SX,3,Larrea,none,flowering shrub,0.0,0.0,200.0,3,Inf
2015,D11,SX,4,Larrea,none,flowering shrub,0.0,0.0,114.5,2,Inf
2015,D12,OA,1,open,annuals,no shrub flowers,777.0,0.010382842252956504,39.666666666666664,15,0.019305019305019305
2015,D12,OA,2,open,annuals,no shrub flowers,1321.0,0.028697427876259993,42.5,8,0.006056018168054504
2015,D12,OA,3,open,annuals,no shrub flowers,1189.0,0.011221215553038882,25.2,20,0.01682085786375105
2015,D12,OA,4,open,annuals,no shrub flowers,2217.0,0.01609390652903001,52.51851851851852,27,0.012178619756427604
2015,D12,SA,1,Larrea,annuals,no shrub flowers,3.0,1.1011194714626537e-4,162.2,5,1.6666666666666667
2015,D12,SA,2,Larrea,annuals,no shrub flowers,100.0,0.0018185455272872754,77.81818181818181,11,0.11
2015,D12,SA,3,Larrea,annuals,no shrub flowers,0.0,0.0,161.5,4,Inf
2015,D12,SA,4,Larrea,annuals,no shrub flowers,0.0,0.0,141.33333333333334,3,Inf
2015,D12,SAA,1,Larrea,annuals,flowering shrub,6323.0,0.03384070303886623,18.894736842105264,38,0.006009805472086035
2015,D12,SAA,2,Larrea,annuals,flowering shrub,5301.0,0.036383977597188664,51.03448275862069,29,0.005470665912092058
2015,D12,SAA,3,Larrea,annuals,flowering shrub,1489.0,0.009688207583999167,23.535714285714285,28,0.01880456682337139
2015,D12,SAA,4,Larrea,annuals,flowering shrub,596.0,0.021026636091021345,60.0,5,0.008389261744966443
2015,D12,SX,1,Larrea,none,flowering shrub,0.0,0.0,200.0,2,Inf
2015,D12,SX,2,Larrea,none,flowering shrub,0.0,0.0,138.33333333333334,3,Inf
2015,D12,SX,3,Larrea,none,flowering shrub,1.0,1.365001365001365e-4,111.5,2,2.0
2015,D12,SX,4,Larrea,none,flowering shrub,0.0,0.0,200.0,1,Inf
2015,D5,OA,1,open,annuals,no shrub flowers,2090.0,0.010650441305367008,34.72222222222222,36,0.01722488038277512
2015,D5,OA,2,open,annuals,no shrub flowers,340.0,0.00647878198898607,45.333333333333336,9,0.026470588235294117
2015,D5,OA,3,open,annuals,no shrub flowers,445.0,0.004167251954862574,24.761904761904763,21,0.04719101123595506
2015,D5,OA,4,open,annuals,no shrub flowers,115.0,0.005810428455941795,57.5,4,0.034782608695652174
2015,D5,SA,1,Larrea,annuals,no shrub flowers,0.0,0.0,153.75,4,Inf
2015,D5,SA,2,Larrea,annuals,no shrub flowers,21.0,5.149078069831306e-4,154.0,8,0.38095238095238093
2015,D5,SA,3,Larrea,annuals,no shrub flowers,22.0,2.754820936639118e-4,120.66666666666667,15,0.6818181818181818
2015,D5,SA,4,Larrea,annuals,no shrub flowers,1.0,4.333694474539545e-5,161.8,5,5.0
2015,D5,SAA,1,Larrea,annuals,flowering shrub,853.0,0.009625258121664164,33.411764705882355,17,0.01992966002344666
2015,D5,SAA,2,Larrea,annuals,flowering shrub,402.0,0.005988202347613656,89.23076923076923,13,0.03233830845771144
2015,D5,SAA,3,Larrea,annuals,flowering shrub,2495.0,0.014160688339992735,22.8125,32,0.01282565130260521
2015,D5,SAA,4,Larrea,annuals,flowering shrub,174.0,0.003352988784830616,28.444444444444443,9,0.05172413793103448
2015,D5,SX,1,Larrea,none,flowering shrub,25.0,7.568876778686043e-4,105.5,6,0.24
2015,D5,SX,2,Larrea,none,flowering shrub,0.0,0.0,200.0,5,Inf
2015,D5,SX,3,Larrea,none,flowering shrub,2.0,8.018924662202799e-5,174.0,7,3.5
2015,D5,SX,4,Larrea,none,flowering shrub,1.0,3.562522265764161e-5,163.2,5,5.0
2015,D6,OA,1,open,annuals,no shrub flowers,565.0,0.005233322835812601,23.782608695652176,23,0.04070796460176991
